#SLHA_file	 M_N1	 M_N2	 M_C1	 M_N3	 M_N4	 M_C2	 r_obs(comb)	 r_exp(comb)	 Combination	 max_r_obs	 Most_Constraining_Analysis	 max_r_exp	 Most_sensitive_Analysis	 Time taken
ew_3fdy1e1n.slha	179.804086	278.785022	278.946956	2440.16044	2440.72128	2441.7042	2.007593	1.525653	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2019-09,CMS-SUS-13-012	1.652904	ATLAS-SUSY-2019-09	1.353586	ATLAS-SUSY-2019-09	00:00:26
ew_n85od2zf.slha	293.182808	298.953222	295.975818	1456.85037	1514.99131	1457.13151	-1	-1	-1	-1	-1	-1	-1	00:00:03
ew_ezigfamu.slha	213.128934	224.346904	217.746588	754.217471	845.564464	845.495393	0.7867342	0.812146	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.8941891	ATLAS-SUSY-2018-41	0.616361	ATLAS-SUSY-2018-41	00:36:43
ew_d1oyax2p.slha	75.0462085	981.849714	981.791301	987.52335	1679.47558	1679.64251	0.6684936	0.8344226	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.7737554	ATLAS-SUSY-2018-41	0.5728213	CMS-SUS-21-002	00:42:03
ew_v976gide.slha	434.754665	439.837314	437.020204	1607.28191	2334.25476	1607.46097	-1	-1	-1	-1	-1	-1	-1	00:00:21
ew_puixuaq3.slha	201.563374	810.546265	810.313054	815.8349	1490.90299	1491.07094	1.213143	1.261754	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.292233	ATLAS-SUSY-2018-41	0.8913791	ATLAS-SUSY-2018-41	00:40:30
ew_p5m95utl.slha	163.947099	167.031258	165.714625	2132.77558	2767.58509	2767.74886	-1	-1	-1	-1	-1	-1	-1	00:00:06
ew_tc5p3elc.slha	48.3687444	912.570744	913.19271	931.2776	1111.21595	1111.44109	0.9556057	1.108855	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.074283	ATLAS-SUSY-2018-41	0.7493152	ATLAS-SUSY-2018-41	00:44:40
ew_7vdemio5.slha	259.61188	267.950386	262.52274	923.876592	2823.2164	924.083378	0.5010091	0.5360345	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.5841489	ATLAS-SUSY-2018-41	0.4058855	ATLAS-SUSY-2018-41	00:43:27
ew_7cpyzn5l.slha	119.366067	789.827145	789.974681	848.194659	910.154148	910.421427	1.830657	2.138801	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.994884	ATLAS-SUSY-2018-41	1.452615	CMS-SUS-21-002	00:47:15
ew_vlwnj2ew.slha	338.688148	342.449806	340.728156	1757.47453	2424.84917	2425.01215	-1	-1	-1	-1	-1	-1	-1	00:00:19
ew_hfy7ivq7.slha	196.979667	204.219814	201.557464	543.195148	2073.08335	2073.24894	0.0544717	0.03304684	ATLAS-SUSY-2019-09	0.0544717	ATLAS-SUSY-2019-09	0.03304684	ATLAS-SUSY-2019-09	00:00:15
ew_0ywlcmts.slha	175.275626	316.867171	314.177773	320.475391	3059.0313	3059.19649	0.7180032	0.7047797	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.6861053	ATLAS-SUSY-2019-09	0.5596031	ATLAS-SUSY-2019-09	00:46:27
ew_ey2rkvxk.slha	123.284805	446.310666	444.980405	449.345272	1487.35455	1487.52206	1.646854	1.761839	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.168005	ATLAS-SUSY-2018-05-ewk	1.042808	CMS-SUS-21-002	00:56:35
ew_cuxboopu.slha	325.581563	341.797424	329.452092	608.723241	2049.69898	609.131013	0.3534468	0.3907769	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.259008	ATLAS-SUSY-2018-05-ewk	0.2397755	CMS-SUS-21-002	00:56:00
ew_y8meh16c.slha	158.578997	169.55788	162.544604	664.740941	2681.49951	665.004897	1.695853	1.622884	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.69873	ATLAS-SUSY-2018-41	1.15095	ATLAS-SUSY-2018-41	00:33:59
ew_2ow3i1ho.slha	262.101339	265.955754	264.095415	1942.17204	3031.82385	1942.34362	-1	-1	-1	-1	-1	-1	-1	00:00:05
ew__o64k6fa.slha	298.906747	304.297246	301.50441	1525.42736	1728.63686	1525.62778	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_f14td82x.slha	408.756737	413.018922	410.911843	1988.79741	2011.03524	2001.75335	-1	-1	-1	-1	-1	-1	-1	00:00:03
ew_27qqrdtr.slha	217.888412	225.874275	222.98343	520.510434	1875.71336	1875.87903	0.05704051	0.03460528	ATLAS-SUSY-2019-09	0.05704051	ATLAS-SUSY-2019-09	0.03460528	ATLAS-SUSY-2019-09	00:00:05
ew_7_cxnele.slha	173.71322	347.013676	346.966808	476.900794	500.983427	501.584738	0.9441819	1.069334	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.61711	ATLAS-SUSY-2019-08	0.7298674	ATLAS-SUSY-2019-08	00:45:44
ew_1gasbs1m.slha	88.7984257	580.112885	579.026093	581.405319	2947.05997	2947.22489	2.385187	2.315563	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.988251	ATLAS-SUSY-2018-41	1.365935	ATLAS-SUSY-2018-41	00:37:55
ew_89dalw3x.slha	122.860367	126.800136	124.991219	1714.95189	2150.66505	2150.82627	-1	-1	-1	-1	-1	-1	-1	00:00:06
ew_u3413b1c.slha	409.047058	416.680604	414.356875	687.003153	2238.45288	2238.6179	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_1pe9d1ed.slha	323.362922	1008.55789	1008.57113	1016.96313	1420.63493	1420.80582	0.4515382	0.5619011	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.5490091	ATLAS-SUSY-2018-41	0.3834167	CMS-SUS-21-002	00:41:06
ew_57qsg504.slha	217.19997	222.308344	219.809772	1463.29225	1666.96546	1667.11155	-1	-1	-1	-1	-1	-1	-1	00:00:05
ew_rqcqg_lz.slha	296.391225	661.594767	659.859291	661.822803	3043.7673	3043.93234	0.9786486	0.911025	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7512443	ATLAS-SUSY-2018-41	0.5219665	CMS-SUS-21-002	00:37:28
ew_g9u7zbnm.slha	177.9861	203.804159	203.92061	885.245893	887.856136	889.584934	0.5675239	0.5295771	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,CMS-SUS-16-048	0.4691534	CMS-SUS-16-048	0.5102188	CMS-SUS-16-048	00:00:55
ew_4uou_7q8.slha	297.388674	460.433526	454.297586	461.322734	1076.04552	1076.20774	0.2855835	0.2020825	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.2286722	ATLAS-SUSY-2019-09	0.1699957	ATLAS-SUSY-2019-09	00:47:32
ew_a8v_3it3.slha	82.7626197	510.064858	510.228836	2952.61202	2953.34497	2954.10787	3.828746	4.602954	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	3.1449	ATLAS-SUSY-2018-41	3.410383	CMS-SUS-21-002	00:56:53
ew_gw018l9v.slha	298.136354	301.745786	300.060188	1964.51015	2419.442	2419.60338	-1	-1	-1	-1	-1	-1	-1	00:00:06
ew_v9g7jnhx.slha	48.2606843	325.819363	323.924628	328.439985	1663.4059	1663.5728	2.628309	2.801258	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.687842	ATLAS-SUSY-2019-09	1.677389	ATLAS-SUSY-2018-05-ewk	00:50:46
ew_554m55i_.slha	428.153673	431.465042	429.975739	2407.27103	2548.83612	2548.844	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_nlcbm3cg.slha	305.884926	309.859163	308.342474	1106.77967	2979.20748	2979.37273	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_xhs00ao5.slha	115.864685	802.436883	801.959624	806.759095	1678.61855	1678.78466	1.389487	1.464884	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.495018	ATLAS-SUSY-2018-41	1.036922	ATLAS-SUSY-2018-41	00:54:00
ew_rtqi2pek.slha	317.841739	867.178814	867.343413	2306.60381	2308.1153	2308.87322	1.427736	1.726073	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.622349	ATLAS-SUSY-2018-41	1.201072	CMS-SUS-21-002	01:15:50
ew_vw9syb1g.slha	24.813669	316.126285	313.660352	317.475463	2381.90444	2382.06994	2.766348	2.948151	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.816999	ATLAS-SUSY-2019-09	1.771905	ATLAS-SUSY-2018-05-ewk	00:43:50
ew_qo3t1yjg.slha	44.9039566	637.454183	636.936473	639.58422	2591.00416	2591.16933	2.317016	2.285771	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.180111	ATLAS-SUSY-2018-41	1.497552	ATLAS-SUSY-2018-41	00:39:57
ew_9c5h42od.slha	134.355895	669.089874	668.662853	680.515572	1013.08082	1013.25121	1.660863	1.721122	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.606333	ATLAS-SUSY-2018-41	1.077561	ATLAS-SUSY-2018-41	00:39:33
ew_2i9a9zbr.slha	423.11102	432.103832	425.814065	1059.07522	1792.66808	1059.29094	0.151444	0.1820407	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.1885675	ATLAS-SUSY-2018-41	0.131247	ATLAS-SUSY-2018-41	00:53:45
ew_jx5kcmkc.slha	486.073991	507.929288	489.278488	679.937887	2063.80354	680.508283	0.03591969	0.03710021	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.0287195	ATLAS-SUSY-2016-24	0.02747218	CMS-SUS-21-002	00:54:30
ew_p_ufuazi.slha	134.790518	141.041227	137.824294	1241.94825	1567.12857	1242.1509	0.01554169	0.02762466	CMS-SUS-21-002	0.01554169	CMS-SUS-21-002	0.02762466	CMS-SUS-21-002	00:01:41
ew_tt71z9zi.slha	354.422914	357.589844	356.233849	2131.20129	2775.89331	2776.05664	-1	-1	-1	-1	-1	-1	-1	00:00:06
ew_ijmp8hzu.slha	41.7476735	500.605517	500.770053	1685.24546	1686.78422	1687.86146	4.475255	4.867925	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.825809	CMS-SUS-21-002	3.531302	CMS-SUS-21-002	00:42:19
ew_q7qcry30.slha	331.358537	335.948156	333.939185	1253.70964	2153.45036	2153.61439	-1	-1	-1	-1	-1	-1	-1	00:00:05
ew_sk8k38ts.slha	384.231799	388.658016	386.838075	1192.90313	2436.60461	2436.76923	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_ze9qi1le.slha	410.875877	984.516998	984.681317	2999.84235	3000.97518	3001.6117	0.836558	1.054898	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.9820887	ATLAS-SUSY-2018-41	0.7484161	CMS-SUS-21-002	00:41:02
ew_o3h2e4ta.slha	293.961698	297.780022	296.179712	1408.05183	2593.23769	2593.40239	-1	-1	-1	-1	-1	-1	-1	00:00:05
ew_tk631bjq.slha	33.0107431	220.302843	220.463872	1041.98458	1043.83437	1045.5541	5.609909	5.714438	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	3.698792	ATLAS-SUSY-2019-09	3.636789	ATLAS-SUSY-2018-32	00:53:11
ew_9mgbvsrb.slha	175.859023	1103.58799	1103.45265	1106.31653	2464.55118	2464.71625	0.3978315	0.4994286	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.4324163	ATLAS-SUSY-2018-41	0.3645102	CMS-SUS-21-002	00:03:47
ew_560ymxc7.slha	362.042386	382.036718	378.880554	454.23168	1846.2368	1846.40205	0.05162656	0.0592488	ATLAS-SUSY-2019-09,CMS-SUS-16-048	0.06268707	ATLAS-SUSY-2019-09	0.05503274	ATLAS-SUSY-2019-09	00:06:32
ew_recms5kx.slha	392.889035	398.429438	395.311485	1522.92175	1931.1158	1523.10967	-1	-1	-1	-1	-1	-1	-1	00:00:03
ew_7g4lghrq.slha	402.643486	649.943096	647.229973	651.190824	2268.06382	2268.22872	0.1567155	0.1218146	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.1271359	CMS-SUS-21-002	0.09337029	CMS-SUS-21-002	00:40:53
ew_il3bapof.slha	113.037945	116.237001	114.852577	1946.79345	2709.64777	2709.81221	-1	-1	-1	-1	-1	-1	-1	00:00:04
ew_vh0hf060.slha	52.4906397	258.046504	254.179212	258.357509	2590.57564	2590.74108	2.998232	2.931348	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.41829	ATLAS-SUSY-2019-09	2.182895	ATLAS-SUSY-2019-09	00:43:00
ew__d5ejqbu.slha	127.267943	483.892951	484.056901	3039.29477	3039.88067	3040.68203	2.961328	3.617539	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	2.147961	CMS-SUS-21-002	2.740451	CMS-SUS-21-002	01:13:36
ew_gsw7_ueo.slha	89.606275	1026.6884	1026.90205	1093.48225	1147.20958	1147.51763	0.887462	1.184064	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	1.036953	ATLAS-SUSY-2018-41	0.8790751	CMS-SUS-21-002	00:37:57
ew_5vjsob34.slha	392.00872	828.670337	827.335592	829.451092	2731.55049	2731.71533	0.6436387	0.6221688	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.6028207	ATLAS-SUSY-2018-41	0.4106577	ATLAS-SUSY-2018-41	00:28:58
ew_0jbajizi.slha	139.733289	177.20761	173.410821	203.867331	2349.86657	2350.03237	0.9353968	0.9148512	ATLAS-SUSY-2013-11,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048	0.9146099	ATLAS-SUSY-2019-09	0.9065921	ATLAS-SUSY-2019-09	00:05:16
ew_lr95rcvr.slha	208.079285	232.892587	213.106472	404.98284	1569.99219	405.922164	0.05271763	0.06123745	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.03777151	ATLAS-SUSY-2018-32	0.0424629	ATLAS-SUSY-2018-32	00:49:10
ew_c0euka60.slha	206.756088	1033.76712	1033.93116	2117.5638	2120.37411	2120.9242	0.9506332	1.279204	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	1.051592	ATLAS-SUSY-2018-41	0.9967293	CMS-SUS-21-002	00:38:43
ew_k18u0r5a.slha	105.986371	110.348214	108.375256	1137.83259	2272.35454	2272.51974	-1	-1	-1	-1	-1	-1	-1	00:00:05
ew_yhrm9kn9.slha	20.0752495	144.222189	144.378838	2174.45708	2174.92014	2176.0667	14.05018	11.61855	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-09,CMS-SUS-13-012	12.42609	ATLAS-SUSY-2019-09	10.70839	ATLAS-SUSY-2019-09	00:01:28
ew_jj8250gf.slha	438.055346	451.734668	441.544632	774.911383	1652.71073	775.233968	0.2213789	0.2411124	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.2485966	ATLAS-SUSY-2018-41	0.1682108	ATLAS-SUSY-2018-41	00:50:56
ew_g31a66nz.slha	240.787244	734.306128	733.303079	735.285371	3055.51213	3055.67714	1.271274	1.261086	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.235168	ATLAS-SUSY-2018-41	0.8378166	ATLAS-SUSY-2018-41	00:26:27
ew_hud3t99b.slha	90.4796178	960.315627	960.814814	972.698674	1253.74564	1253.93417	0.7341514	0.9120145	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.8537022	ATLAS-SUSY-2018-41	0.6201004	CMS-SUS-21-002	00:44:17
ew_pbsw3n0_.slha	169.289631	490.59104	490.753392	1286.95309	1290.04452	1291.02634	2.251931	2.767904	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.702095	CMS-SUS-21-002	2.070705	CMS-SUS-21-002	02:16:52
ew_s0adl1rd.slha	389.250658	392.958392	391.218704	2230.69777	2313.42649	2230.8968	-1	-1	-1	-1	-1	-1	-1	00:00:04
ew_6l8rsi5x.slha	493.424601	1005.77888	1005.6998	1064.85961	1120.49597	1120.56397	0.4494134	0.5562737	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.5282339	ATLAS-SUSY-2018-41	0.3849226	CMS-SUS-21-002	00:48:05
ew_fm1hz8xv.slha	253.251196	262.250326	257.203347	955.508615	1058.19141	955.855905	0.3929749	0.4366847	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.4717632	ATLAS-SUSY-2018-41	0.3278778	ATLAS-SUSY-2018-41	00:46:05
ew_62mc2z5_.slha	309.582504	314.160009	312.012683	1492.98554	1965.25023	1965.41068	-1	-1	-1	-1	-1	-1	-1	00:00:04
ew_xo5rbc43.slha	363.382738	374.319338	366.200678	887.675275	1746.58545	887.915339	0.4973604	0.4915713	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.5381223	ATLAS-SUSY-2018-41	0.3695963	ATLAS-SUSY-2018-41	00:43:32
ew_qu4xxb31.slha	269.549544	813.63591	812.819877	814.737095	3082.26166	3082.42664	1.020656	1.036204	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.038327	ATLAS-SUSY-2018-41	0.7124327	ATLAS-SUSY-2018-41	00:47:55
ew_oop9bau1.slha	152.531144	157.809811	155.296632	1211.8693	1680.21962	1680.37963	-1	-1	-1	-1	-1	-1	-1	00:00:06
ew__2xdw0w5.slha	388.901512	660.76555	660.924148	1298.3556	1302.60955	1303.32901	0.4155615	0.5519826	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.3612573	CMS-SUS-21-002	0.4456416	CMS-SUS-21-002	00:41:14
ew_amnk6yoz.slha	201.792863	205.634051	203.799098	1935.16259	2966.76092	1935.33442	-1	-1	-1	-1	-1	-1	-1	00:00:05
ew_96oal4ov.slha	357.27203	593.231947	593.373778	992.093959	999.499414	1000.07075	0.3590366	0.5080372	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.341431	CMS-SUS-21-002	0.3961009	ATLAS-SUSY-2019-08	00:29:29
ew_ysz3m9ox.slha	129.363387	139.843816	134.04485	758.142785	970.655004	758.468406	1.43807	1.394939	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.554063	ATLAS-SUSY-2018-41	1.078668	ATLAS-SUSY-2018-41	00:42:00
ew_3o6bdiem.slha	224.518242	331.941433	332.050491	699.238426	706.458404	707.591499	1.188599	1.100834	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.197892	ATLAS-SUSY-2019-09	1.021812	ATLAS-SUSY-2019-09	00:41:57
ew_qf57elnf.slha	453.908909	457.522406	455.781063	2031.77705	2538.33046	2538.49209	-1	-1	-1	-1	-1	-1	-1	00:00:02
ew_jqtceves.slha	349.943727	836.394885	836.559448	2682.84111	2683.9145	2684.65743	1.357474	1.585485	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	1.517214	ATLAS-SUSY-2018-41	1.081351	CMS-SUS-21-002	00:39:46
ew_e3fe036q.slha	63.487974	870.269028	870.439644	1328.82269	1334.65084	1335.54211	1.946104	2.405253	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	2.217136	ATLAS-SUSY-2018-41	1.661296	CMS-SUS-21-002	00:45:56
ew_n4rcyrlj.slha	244.204108	1176.09384	1176.21708	1179.90882	2124.9032	2125.06942	0.286065	0.3608857	ATLAS-SUSY-2018-41,CMS-SUS-21-002	0.3089009	ATLAS-SUSY-2018-41	0.2652793	CMS-SUS-21-002	00:02:24
