#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination	Time_taken
ew_u96uh50e.slha	42.3763615	930.732794	931.157665	940.610468	1311.57765	1311.75621	0.8199751	1.006733	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.9512407	ATLAS-SUSY-2018-41	0.6760494	CMS-SUS-21-002	35.2523755	1187.04925	912.852677	23.3546742	-1	00:46:12
ew__yt2e840.slha	452.711315	460.384395	458.233938	703.068796	2360.79933	2360.96438	-1	-1	-1	-1	-1	-1	-1	679.811488	2204.7564	442.519339	31.6888214	[]	00:00:03
ew_vxw0vzq7.slha	236.620081	253.879496	241.610433	528.044302	1153.92483	528.561123	0.06964999	0.09092608	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.05930942	CMS-SUS-21-002	0.06915386	CMS-SUS-21-002	1107.70847	445.662109	239.733668	37.3683241	-1	00:55:01
ew_hsyluw1x.slha	20.839091	1059.25383	1059.72875	1070.53801	1389.7754	1389.95723	0.4763338	0.627144	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.553046	ATLAS-SUSY-2018-41	0.4597684	CMS-SUS-21-002	14.574992	1261.20452	1040.88358	22.1455899	-1	00:55:35
ew_jx9x6ou8.slha	85.865731	883.922299	884.086098	2195.83294	2198.31262	2198.82773	1.848697	2.398534	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	2.134972	ATLAS-SUSY-2018-41	1.76441	CMS-SUS-21-002	81.1547141	802.503895	2153.65124	7.91829803	-1	00:56:57
ew_sy7vyqog.slha	256.513983	260.983378	258.891818	1639.82249	1914.36511	1914.52013	-1	-1	-1	-1	-1	-1	-1	1592.51947	1769.95562	249.02334	47.475257	[]	00:00:02
ew_5rzgfzdr.slha	112.737434	127.186038	119.284321	507.88905	615.830285	615.758095	0.2733811	0.28091	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.2066268	ATLAS-SUSY-2018-41	0.1903384	CMS-SUS-21-002	472.687654	521.918413	116.407065	42.4416671	-1	01:01:38
ew_3kaq5q2m.slha	102.137941	106.194227	104.342962	1531.89887	2153.44256	2153.60591	-1	-1	-1	-1	-1	-1	-1	1491.00385	2001.64592	100.011184	36.492926	[]	00:00:03
ew_10r91dim.slha	209.833304	582.989564	581.637652	584.574543	2096.65215	2096.81777	1.332164	1.350098	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.8853257	ATLAS-SUSY-2018-41	0.8143135	CMS-SUS-21-002	201.788565	1947.82863	563.354532	37.3705236	-1	00:38:26
ew_qzgas1el.slha	287.636593	699.142196	697.731419	700.304055	2350.90779	2351.07293	1.048979	0.9986735	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.89503	ATLAS-SUSY-2018-41	0.6016692	ATLAS-SUSY-2018-41	279.15864	2196.06762	676.976452	18.9600436	-1	00:36:35
ew_zopvqnm8.slha	268.329801	276.358513	271.496685	948.131087	2455.30401	948.337507	0.6412801	0.7047209	ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.7536963	ATLAS-SUSY-2018-41	0.5228756	ATLAS-SUSY-2018-41	2401.97948	853.192488	263.074374	36.7680675	-1	00:43:54
ew_by70j6ai.slha	172.72881	192.161004	178.415816	449.359623	971.483964	450.031375	0.08559386	0.1132992	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.08044067	CMS-SUS-21-002	0.082496	CMS-SUS-21-002	927.662399	370.074339	179.361655	21.214879	-1	00:39:54
ew_y66p6bem.slha	258.819336	391.075271	387.88425	394.45527	1913.66684	1913.83267	0.1647968	0.1857026	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.1697194	ATLAS-SUSY-2019-09	0.1912646	ATLAS-SUSY-2019-09	254.098801	1770.03198	374.605897	26.4577802	-1	00:39:53
ew_4f7zkkoc.slha	284.655339	313.286889	288.142569	468.973248	1889.13959	469.828635	0.110645	0.3200662	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.2423673	ATLAS-SUSY-2019-09	0.2401123	ATLAS-SUSY-2019-09	1837.43965	386.831204	299.56632	7.52491535	-1	00:48:27
ew_xxm62p1p.slha	214.188948	228.536625	218.647988	558.246637	2472.14032	558.614829	1.074141	1.085047	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	0.7072929	ATLAS-SUSY-2018-41	0.6137743	CMS-SUS-21-002	2418.75254	483.09613	215.496225	47.0770492	-1	00:37:42
ew_45a8pgt6.slha	235.679065	239.630342	237.754596	1849.68852	2155.56803	2155.72575	-1	-1	-1	-1	-1	-1	-1	1801.80843	2004.5898	229.467951	15.7820675	[]	00:00:02
ew_bx3jpz4m.slha	474.899677	1009.31635	1009.46864	1273.53304	1285.38018	1285.70425	0.6311103	0.7828888	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.728804	ATLAS-SUSY-2018-41	0.554058	CMS-SUS-21-002	454.857506	919.50735	1243.24783	33.8121228	-1	01:49:07
ew_hpovjkit.slha	114.260918	133.042544	120.320055	394.344501	2543.84638	394.98432	0.1354391	0.174544	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	0.1114058	CMS-SUS-21-002	0.1127553	CMS-SUS-21-002	2490.44977	327.865992	121.262548	44.5825116	-1	00:47:37
ew_fgys4dwu.slha	131.114183	1054.81793	1054.98253	2652.6679	2654.07384	2654.77431	0.9002842	1.231426	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-21-002	0.9924917	ATLAS-SUSY-2018-41	0.9661382	CMS-SUS-21-002	125.223589	961.511773	2606.70656	26.6704968	-1	00:35:57
