#SLHA_file	m_N1	m_N2	m_C1	m_N3	m_N4	m_C2	r_obs(comb)	r_exp(comb)	Combination	max_r_obs	Most_Constraining_Analysis	max_r_exp	Most_sensitive_Analysis	M1	M2	Mu	Tan_Beta	Tp_not_included_in_combination
ew_yfwih5az.slha	148.18371	739.434281	738.81029	740.951656	2956.69347	2956.85854	1.599024	1.620917	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.63484	ATLAS-SUSY-2018-41	1.123224	ATLAS-SUSY-2018-41	142.61519	2788.24681	716.423714	42.456565	-1
ew_lnhafln7.slha	415.3436	699.474601	697.214323	700.088753	2040.79684	2040.96242	0.170644	0.1914678	ATLAS-SUSY-2013-11,ATLAS-SUSY-2016-24,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.1490774	CMS-SUS-21-002	0.1759079	CMS-SUS-21-002	403.537447	1893.77511	676.753458	38.5755835	-1
ew_ls98a7tb.slha	441.535277	453.011099	444.548346	838.609273	2706.03369	838.865187	0.3361931	0.3605618	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.3912347	ATLAS-SUSY-2018-41	0.2648716	ATLAS-SUSY-2018-41	2653.01789	749.249705	434.981541	31.0397932	-1
ew_a99ty1_8.slha	307.443457	311.158513	309.297746	2116.74957	2722.53517	2116.92199	-1	-1	-1	-1	-1	-1	-1	2669.51749	1972.78913	298.796488	15.0769315	[]
ew_zc9yb8n3.slha	482.315543	927.141179	925.644936	933.718555	1425.17636	1425.3352	0.2836207	0.3149183	ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,CMS-SUS-13-012,CMS-SUS-21-002	0.3150507	ATLAS-SUSY-2018-41	0.2126872	CMS-SUS-21-002	464.956474	1299.50231	908.600576	7.20457974	-1
ew_7kzah85g.slha	368.528604	372.817692	371.075614	1202.71962	2511.81366	2511.97858	-1	-1	-1	-1	-1	-1	-1	1173.08392	2351.65747	357.605619	46.5678154	[]
ew_1twit27y.slha	68.0886417	315.261336	312.874133	317.310807	1662.8099	1662.97674	1.952452	2.234873	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.688633	ATLAS-SUSY-2019-09	1.567615	ATLAS-SUSY-2019-09	62.4073594	1527.00518	301.742222	35.0382122	-1
ew_i_zw5442.slha	128.480184	140.190335	133.083588	602.788012	2737.71236	603.080216	1.971319	1.903343	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	1.700936	ATLAS-SUSY-2018-41	1.166222	ATLAS-SUSY-2018-41	2684.51852	527.469816	129.977801	47.6157643	-1
ew_lhagcyf0.slha	177.996011	181.679719	179.8943	2168.83505	2293.74554	2169.02404	-1	-1	-1	-1	-1	-1	-1	2240.53175	2019.30664	174.026588	13.438658	[]
ew_s1o3fr82.slha	202.803155	214.045115	206.734007	677.968806	2360.62806	678.237912	1.493641	1.461124	ATLAS-SUSY-2013-11,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-41,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-21-002	1.467372	ATLAS-SUSY-2018-41	0.9913471	ATLAS-SUSY-2018-41	2307.39909	596.963267	202.121658	23.579428	-1
ew_um4u28gs.slha	106.793318	136.36754	113.444169	310.550693	656.425749	312.21058	1.497435	1.629472	ATLAS-SUSY-2013-11,ATLAS-SUSY-2013-12,ATLAS-SUSY-2018-05-ewk,ATLAS-SUSY-2018-32,ATLAS-SUSY-2019-08,ATLAS-SUSY-2019-09,CMS-SUS-13-012,CMS-SUS-16-048,CMS-SUS-21-002	1.272505	ATLAS-SUSY-2019-09	1.13285	ATLAS-SUSY-2019-09	617.393458	231.920887	124.674711	8.63029467	-1
#Has_files_from_1700_to_1800; Time taken 00:00:00
