X: nr=21; t='T2bbffff'; mgl=1000000.0; mstop=423.3; mlsp=343.6; id0='SR1HcY'; r0=0.53; n0=15; id1='SR1McY'; r1=0.48; n1=14; id2='SR1HcX'; r2=0.40; n2=11; id3='SR1McX'; r3=0.27; n3=10; id4='SR2McY'; r4=0.20; n4=38; id5='SR2HcY'; r5=0.20; n5=39; id6='SR2HcX'; r6=0.17; n6=36; id7='SR1LcX'; r7=0.15; n7=9; id8='SR1LcY'; r8=0.14; n8=12; id9='SR2McX'; r9=0.12; n9=34.
X: nr=22; t='T2bbffff'; mgl=1000000.0; mstop=500.3; mlsp=488.4; id0='SR1VLaY'; r0=0.29; n0=35; id1='SR1LaY'; r1=0.14; n1=40; id2='SR1VLaX'; r2=0.11; n2=1; id3='SR1LcY'; r3=0.08; n3=12; id4='SR1LbY'; r4=0.07; n4=6; id5='SR1VLbY'; r5=0.06; n5=5; id6='SR1LaX'; r6=0.05; n6=2; id7='SR2VLaY'; r7=0.04; n7=20; id8='SR1LcX'; r8=0.04; n8=9; id9='SR1McY'; r9=0.04; n9=14.
X: nr=23; t='T2bbffff'; mgl=1000000.0; mstop=670.1; mlsp=602.0; id0='SR1HcY'; r0=0.12; n0=15; id1='SR1McY'; r1=0.12; n1=14; id2='SR1HcX'; r2=0.05; n2=11; id3='SR1LcY'; r3=0.05; n3=12; id4='SR2McY'; r4=0.05; n4=38; id5='SR2HcY'; r5=0.05; n5=39; id6='SR1McX'; r6=0.04; n6=10; id7='SR1LcX'; r7=0.02; n7=9; id8='SR2LcY'; r8=0.02; n8=37; id9='SR2HcX'; r9=0.02; n9=36.
X: nr=24; t='T2bbffff'; mgl=1000000.0; mstop=439.5; mlsp=390.8; id0='SR1McY'; r0=0.56; n0=14; id1='SR1HcY'; r1=0.45; n1=15; id2='SR1LcY'; r2=0.42; n2=12; id3='SR1McX'; r3=0.31; n3=10; id4='SR1LcX'; r4=0.30; n4=9; id5='SR2McY'; r5=0.25; n5=38; id6='SR1HcX'; r6=0.25; n6=11; id7='SR2LcY'; r7=0.19; n7=37; id8='SR1LaY'; r8=0.17; n8=40; id9='SR2HcY'; r9=0.16; n9=39.
X: nr=25; t='T2bbffff'; mgl=1000000.0; mstop=735.2; mlsp=704.7; id0='SR1LcY'; r0=0.06; n0=12; id1='SR1McY'; r1=0.06; n1=14; id2='SR1LaY'; r2=0.03; n2=40; id3='SR1VLaY'; r3=0.03; n3=35; id4='SR1HcY'; r4=0.03; n4=15; id5='SR1LcX'; r5=0.03; n5=9; id6='SR1LbY'; r6=0.02; n6=6; id7='SR1McX'; r7=0.02; n7=10; id8='SR2LcY'; r8=0.02; n8=37; id9='SR2McY'; r9=0.02; n9=38.
X: nr=26; t='T2bbffff'; mgl=1000000.0; mstop=389.7; mlsp=321.1; id0='SR1McY'; r0=0.71; n0=14; id1='SR1HcY'; r1=0.67; n1=15; id2='SR1HcX'; r2=0.46; n2=11; id3='SR1McX'; r3=0.41; n3=10; id4='SR1LcY'; r4=0.33; n4=12; id5='SR2McY'; r5=0.30; n5=38; id6='SR2HcY'; r6=0.28; n6=39; id7='SR1LcX'; r7=0.27; n7=9; id8='SR2HcX'; r8=0.21; n8=36; id9='SR2McX'; r9=0.18; n9=34.
X: nr=27; t='T2bbffff'; mgl=1000000.0; mstop=330.9; mlsp=253.3; id0='SR1HcY'; r0=0.87; n0=15; id1='SR1McY'; r1=0.84; n1=14; id2='SR1HcX'; r2=0.80; n2=11; id3='SR1McX'; r3=0.60; n3=10; id4='SR1LcY'; r4=0.38; n4=12; id5='SR2McY'; r5=0.37; n5=38; id6='SR2HcY'; r6=0.36; n6=39; id7='SR2HcX'; r7=0.36; n7=36; id8='SR1LcX'; r8=0.32; n8=9; id9='SR2McX'; r9=0.28; n9=34.
X: nr=28; t='T2bbffff'; mgl=1000000.0; mstop=616.4; mlsp=604.2; id0='SR1VLaY'; r0=0.09; n0=35; id1='SR1LaY'; r1=0.05; n1=40; id2='SR1VLaX'; r2=0.04; n2=1; id3='SR1LcY'; r3=0.04; n3=12; id4='SR1VLbY'; r4=0.03; n4=5; id5='SR1LbY'; r5=0.03; n5=6; id6='SR1LaX'; r6=0.02; n6=2; id7='SR1VLbX'; r7=0.02; n7=43; id8='SR1McY'; r8=0.02; n8=14; id9='SR1LcX'; r9=0.02; n9=9.
X: nr=29; t='T2bbffff'; mgl=1000000.0; mstop=567.5; mlsp=526.8; id0='SR1McY'; r0=0.24; n0=14; id1='SR1LcY'; r1=0.16; n1=12; id2='SR1HcY'; r2=0.16; n2=15; id3='SR1McX'; r3=0.10; n3=10; id4='SR1LcX'; r4=0.09; n4=9; id5='SR1LaY'; r5=0.08; n5=40; id6='SR2McY'; r6=0.07; n6=38; id7='SR1LbY'; r7=0.07; n7=6; id8='SR1HcX'; r8=0.07; n8=11; id9='SR2LcY'; r9=0.06; n9=37.
X: nr=30; t='T2bbffff'; mgl=1000000.0; mstop=305.9; mlsp=247.2; id0='SR1McY'; r0=1.27; n0=14; id1='SR1HcY'; r1=1.14; n1=15; id2='SR1McX'; r2=0.94; n2=10; id3='SR1HcX'; r3=0.83; n3=11; id4='SR1LcY'; r4=0.78; n4=12; id5='SR1LcX'; r5=0.72; n5=9; id6='SR2McY'; r6=0.70; n6=38; id7='SR2HcY'; r7=0.52; n7=39; id8='SR2HcX'; r8=0.42; n8=36; id9='SR2McX'; r9=0.42; n9=34.
