X: nr=25; t='T2tt'; mgl=1000000.0; mstop=531.0; mlsp=256.5; id0='t2b2MT2300_400MET250_350'; r0=0.80; n0=60; id1='t1b2MT2200_350MET250_400'; r1=0.78; n1=15; id2='t2b1MT2300_450MET250_350'; r2=0.68; n2=49; id3='t2b2MT2300_400MET350_450'; r3=0.46; n3=61; id4='t2b1MT2300_450MET350_450'; r4=0.45; n4=50; id5='t1b2MT2200_350MET400_500'; r5=0.44; n5=16; id6='t2b2MT2200_300MET250_350'; r6=0.44; n6=55; id7='t1b3+MT2300_1000MET250_350'; r7=0.42; n7=32; id8='t1b1MT2300_400MET250_400'; r8=0.39; n8=46; id9='t2b1MT2300_450MET450_600'; r9=0.34; n9=51.
X: nr=26; t='T2tt'; mgl=1000000.0; mstop=533.4; mlsp=292.2; id0='t1b2MT2200_350MET250_400'; r0=0.45; n0=15; id1='t2b2MT2300_400MET250_350'; r1=0.45; n1=60; id2='t2b2MT2200_300MET250_350'; r2=0.38; n2=55; id3='t2b1MT2300_450MET250_350'; r3=0.34; n3=49; id4='t1b2MT2200_350MET400_500'; r4=0.31; n4=16; id5='t1b3+MT2300_1000MET250_350'; r5=0.27; n5=32; id6='t2b2MT2300_400MET350_450'; r6=0.25; n6=61; id7='t2b1MT2300_450MET350_450'; r7=0.23; n7=50; id8='t2b2MT2200_300MET350_450'; r8=0.22; n8=56; id9='t1b1MT2300_400MET250_400'; r9=0.22; n9=46.
X: nr=27; t='T2tt'; mgl=1000000.0; mstop=1059.9; mlsp=400.3; id0='t2b1MT2450+MET600+'; r0=0.18; n0=54; id1='t2b2MT2400+MET600+'; r1=0.15; n1=65; id2='t1b2MT2650+MET750+'; r2=0.13; n2=31; id3='t1b2MT2650+MET600_750'; r3=0.10; n3=30; id4='t1b2MT2450_650MET500_600'; r4=0.08; n4=27; id5='t1b1MT2550_750MET600_750'; r5=0.08; n5=9; id6='t1b1MT2750+MET750+'; r6=0.08; n6=14; id7='t2b2MT2500+MET450_600'; r7=0.07; n7=67; id8='t1b2MT2450_650MET600_750'; r8=0.07; n8=28; id9='t1b1MT2550_750MET750+'; r9=0.07; n9=10.
X: nr=28; t='T1tttt'; mgl=2075.7; mstop=1000000.0; mlsp=321.6; id0='t2b3+MT21300+MET500+'; r0=0.09; n0=76; id1='t1b3+MT21500+MET550+'; r1=0.07; n1=43; id2='t3+b3+MT2300+MET350+'; r2=0.05; n2=83; id3='t2b2MT2400+MET600+'; r3=0.03; n3=65; id4='t1b2MT2650+MET750+'; r4=0.03; n4=31; id5='t3+b2MT2300+MET400+'; r5=0.02; n5=81; id6='t2b1MT2450+MET600+'; r6=0.02; n6=54; id7='t1b2MT2200_650MET750+'; r7=0.01; n7=19; id8='t3+b1MT2300+MET350+'; r8=0.01; n8=78; id9='t2b3+MT21300+MET350_500'; r9=0.01; n9=75.
X: nr=29; t='T2tt'; mgl=1000000.0; mstop=1156.0; mlsp=247.3; id0='t2b1MT2450+MET600+'; r0=0.17; n0=54; id1='t1b2MT2650+MET750+'; r1=0.16; n1=31; id2='t2b2MT2400+MET600+'; r2=0.11; n2=65; id3='t1b1MT2750+MET750+'; r3=0.10; n3=14; id4='t1b1MT2550_750MET750+'; r4=0.05; n4=10; id5='t1b2MT2650+MET600_750'; r5=0.04; n5=30; id6='t1b2MT2200_650MET750+'; r6=0.04; n6=19; id7='t1b1MT2550_750MET600_750'; r7=0.04; n7=9; id8='t1b2MT2450_650MET500_600'; r8=0.03; n8=27; id9='t1b2MT2450_650MET600_750'; r9=0.03; n9=28.
X: nr=30; t='T2tt'; mgl=1000000.0; mstop=1007.3; mlsp=60.4; id0='t2b1MT2450+MET600+'; r0=0.42; n0=54; id1='t1b2MT2650+MET750+'; r1=0.33; n1=31; id2='t2b2MT2400+MET600+'; r2=0.31; n2=65; id3='t1b1MT2750+MET750+'; r3=0.21; n3=14; id4='t1b2MT2650+MET600_750'; r4=0.13; n4=30; id5='t1b1MT2550_750MET750+'; r5=0.12; n5=10; id6='t2b2MT2500+MET450_600'; r6=0.11; n6=67; id7='t1b2MT2450_650MET500_600'; r7=0.10; n7=27; id8='t1b2MT2450_650MET600_750'; r8=0.09; n8=28; id9='t1b1MT2550_750MET600_750'; r9=0.09; n9=9.
X: nr=31; t='T1tttt'; mgl=1800.1; mstop=1000000.0; mlsp=779.6; id0='t2b3+MT21300+MET500+'; r0=0.27; n0=76; id1='t3+b3+MT2300+MET350+'; r1=0.18; n1=83; id2='t2b3+MT2300_1300MET500+'; r2=0.12; n2=71; id3='t1b3+MT21500+MET550+'; r3=0.12; n3=43; id4='t2b2MT2400+MET600+'; r4=0.10; n4=65; id5='t3+b2MT2300+MET400+'; r5=0.07; n5=81; id6='t1b3+MT21000_1500MET550+'; r6=0.07; n6=40; id7='t2b3+MT21300+MET350_500'; r7=0.05; n7=75; id8='t1b2MT2650+MET750+'; r8=0.05; n8=31; id9='t2b1MT2450+MET600+'; r9=0.05; n9=54.
X: nr=32; t='T2tt'; mgl=1000000.0; mstop=468.4; mlsp=152.9; id0='t2b2MT2300_400MET250_350'; r0=2.02; n0=60; id1='t1b2MT2200_350MET250_400'; r1=1.82; n1=15; id2='t2b1MT2300_450MET250_350'; r2=1.75; n2=49; id3='t2b2MT2300_400MET350_450'; r3=1.26; n3=61; id4='t1b1MT2300_400MET250_400'; r4=1.03; n4=46; id5='t2b1MT2300_450MET350_450'; r5=0.99; n5=50; id6='t1b3+MT2300_1000MET250_350'; r6=0.95; n6=32; id7='t1b2MT2200_350MET400_500'; r7=0.95; n7=16; id8='t2b2MT2400_500MET250_450'; r8=0.93; n8=63; id9='t2b2MT2200_300MET250_350'; r9=0.78; n9=55.
X: nr=33; t='T2tt'; mgl=1000000.0; mstop=1072.9; mlsp=88.7; id0='t2b1MT2450+MET600+'; r0=0.28; n0=54; id1='t1b2MT2650+MET750+'; r1=0.26; n1=31; id2='t2b2MT2400+MET600+'; r2=0.21; n2=65; id3='t1b1MT2750+MET750+'; r3=0.16; n3=14; id4='t1b1MT2550_750MET750+'; r4=0.09; n4=10; id5='t1b2MT2650+MET600_750'; r5=0.08; n5=30; id6='t1b1MT2550_750MET600_750'; r6=0.07; n6=9; id7='t1b2MT2450_650MET500_600'; r7=0.06; n7=27; id8='t2b2MT2500+MET450_600'; r8=0.06; n8=67; id9='t1b2MT2200_650MET750+'; r9=0.06; n9=19.
X: nr=34; t='T2tt'; mgl=1000000.0; mstop=412.6; mlsp=181.9; id0='t2b2MT2200_300MET250_350'; r0=1.07; n0=55; id1='t1b2MT2200_350MET250_400'; r1=0.77; n1=15; id2='t2b1MT2200_300MET250_350'; r2=0.60; n2=44; id3='t2b2MT2200_300MET350_450'; r3=0.52; n3=56; id4='t2b2MT2300_400MET250_350'; r4=0.52; n4=60; id5='t2b1MT2300_450MET250_350'; r5=0.48; n5=49; id6='t2b1MT2200_300MET350_450'; r6=0.47; n6=45; id7='t1b2MT2200_350MET400_500'; r7=0.46; n7=16; id8='t1b3+MT2300_1000MET250_350'; r8=0.45; n8=32; id9='t1b1MT2300_400MET250_400'; r9=0.39; n9=46.
