#            mhscp              width               c000               c100               c200               c300
     1.5000000e+02      1.0000000e-16      1.5762434e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.5000000e-16      4.3877476e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      2.2000000e-16      1.0009829e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      3.2000000e-16      1.8876340e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      4.6000000e-16      3.0465936e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      6.8000000e-16      3.3646236e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e-15      2.9744605e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.5000000e-15      1.5083561e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      2.2000000e-15      4.1090221e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      3.2000000e-15      3.3911149e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      5.6000000e-15      5.2164545e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.7500000e+02      0.0000000e+00      3.0806496e-01      3.0727021e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-22      3.0806456e-01      3.0726981e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-20      3.0802442e-01      3.0722983e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-19      3.0765688e-01      3.0686381e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      5.0000000e-19      3.0596764e-01      3.0518136e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-18      3.0373538e-01      3.0295774e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.8000000e-18      2.9991199e-01      2.9914849e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      3.2000000e-18      2.9259149e-01      2.9185344e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      5.6000000e-18      2.7867678e-01      2.7798352e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-17      2.5088478e-01      2.5027344e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.5000000e-17      2.1895013e-01      2.1842624e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      2.2000000e-17      1.7775948e-01      1.7734217e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      3.2000000e-17      1.2965639e-01      1.2935755e-01      0.0000000e+00      0.0000000e+00
     1.7500000e+02      4.6000000e-17      8.2538280e-02      8.2350698e-02      0.0000000e+00      0.0000000e+00
     1.7500000e+02      6.8000000e-17      4.1145879e-02      4.1052759e-02      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-16      1.5978082e-02      1.5941302e-02      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.5000000e-16      4.3395947e-03      4.3291152e-03      0.0000000e+00      0.0000000e+00
     1.7500000e+02      2.2000000e-16      9.4815587e-04      9.4572285e-04      0.0000000e+00      0.0000000e+00
     1.7500000e+02      3.2000000e-16      1.6575926e-04      1.6531602e-04      0.0000000e+00      0.0000000e+00
     1.7500000e+02      4.6000000e-16      2.4030565e-05      2.3965654e-05      0.0000000e+00      0.0000000e+00
     1.7500000e+02      6.8000000e-16      2.3470114e-06      2.3406425e-06      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-15      1.9397562e-07      1.9344549e-07      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.5000000e-15      9.0895699e-09      9.0651566e-09      0.0000000e+00      0.0000000e+00
     1.7500000e+02      2.2000000e-15      1.9691058e-10      1.9640963e-10      0.0000000e+00      0.0000000e+00
     1.7500000e+02      3.2000000e-15      1.0468747e-12      1.0444389e-12      0.0000000e+00      0.0000000e+00
     1.7500000e+02      5.6000000e-15      5.1612270e-18      5.1505960e-18      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.7500000e+02      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     2.0000000e+02      0.0000000e+00      3.4610514e-01      3.4555614e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-22      3.4610470e-01      3.4555571e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-20      3.4606192e-01      3.4551304e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-19      3.4566984e-01      3.4512192e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      5.0000000e-19      3.4386033e-01      3.4331677e-01      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.0000000e-18      3.4145335e-01      3.4091536e-01      0.0000000e+00      0.0000000e+00
