CMDLINE /usr/bin/python ./memPyhf.py
MEM 201.976562 1594283932.9639
MEM 201.976562 1594283933.0642
MEM 202.234375 1594283933.1645
MEM 202.234375 1594283933.2648
MEM 202.234375 1594283933.3651
MEM 202.351562 1594283933.4654
MEM 202.351562 1594283933.5657
MEM 202.351562 1594283933.6660
MEM 202.351562 1594283933.7665
MEM 202.351562 1594283933.8668
MEM 202.351562 1594283933.9671
MEM 202.605469 1594283934.0674
MEM 202.605469 1594283934.1678
MEM 202.605469 1594283934.2681
MEM 202.605469 1594283934.3684
MEM 202.605469 1594283934.4687
MEM 202.605469 1594283934.5689
MEM 202.605469 1594283934.6692
MEM 202.863281 1594283934.7695
MEM 202.863281 1594283934.8698
MEM 202.863281 1594283934.9701
MEM 202.976562 1594283935.0705
MEM 202.976562 1594283935.1708
MEM 202.976562 1594283935.2711
MEM 202.976562 1594283935.3715
MEM 202.976562 1594283935.4718
MEM 202.976562 1594283935.5721
MEM 203.230469 1594283935.6724
MEM 203.230469 1594283935.7728
MEM 203.230469 1594283935.8731
MEM 203.230469 1594283935.9734
MEM 203.230469 1594283936.0739
MEM 203.230469 1594283936.1743
MEM 203.488281 1594283936.2746
MEM 203.488281 1594283936.3749
MEM 203.488281 1594283936.4752
MEM 203.589844 1594283936.5755
MEM 203.589844 1594283936.6759
MEM 203.589844 1594283936.7762
MEM 203.589844 1594283936.8765
MEM 203.589844 1594283936.9768
MEM 203.589844 1594283937.0771
MEM 203.843750 1594283937.1774
MEM 203.843750 1594283937.2778
MEM 203.843750 1594283937.3781
MEM 203.843750 1594283937.4784
MEM 203.843750 1594283937.5788
MEM 203.843750 1594283937.6791
MEM 203.843750 1594283937.7794
MEM 204.101562 1594283937.8797
MEM 204.101562 1594283937.9799
MEM 204.207031 1594283938.0802
MEM 204.207031 1594283938.1805
MEM 204.207031 1594283938.2809
MEM 204.207031 1594283938.3812
MEM 204.207031 1594283938.4816
MEM 204.207031 1594283938.5819
MEM 204.207031 1594283938.6822
MEM 204.460938 1594283938.7825
MEM 204.460938 1594283938.8830
MEM 204.460938 1594283938.9834
MEM 204.460938 1594283939.0837
MEM 204.460938 1594283939.1840
MEM 204.460938 1594283939.2844
MEM 204.718750 1594283939.3848
MEM 204.718750 1594283939.4851
MEM 204.718750 1594283939.5854
MEM 204.820312 1594283939.6858
MEM 204.820312 1594283939.7861
MEM 204.820312 1594283939.8865
MEM 204.820312 1594283939.9868
MEM 204.820312 1594283940.0872
MEM 204.820312 1594283940.1875
MEM 205.074219 1594283940.2878
MEM 205.074219 1594283940.3881
MEM 205.074219 1594283940.4884
MEM 205.074219 1594283940.5888
MEM 205.074219 1594283940.6891
MEM 205.074219 1594283940.7894
MEM 205.332031 1594283940.8898
MEM 205.332031 1594283940.9901
MEM 205.433594 1594283941.0904
MEM 205.433594 1594283941.1907
MEM 205.433594 1594283941.2910
MEM 205.433594 1594283941.3913
MEM 205.433594 1594283941.4916
MEM 205.433594 1594283941.5920
MEM 205.687500 1594283941.6923
MEM 205.687500 1594283941.7926
MEM 205.687500 1594283941.8929
MEM 205.687500 1594283941.9932
MEM 205.687500 1594283942.0935
MEM 205.687500 1594283942.1939
MEM 205.945312 1594283942.2943
MEM 205.945312 1594283942.3946
MEM 206.050781 1594283942.4949
MEM 206.050781 1594283942.5952
MEM 206.050781 1594283942.6956
MEM 206.050781 1594283942.7959
MEM 206.050781 1594283942.8962
MEM 206.304688 1594283942.9965
MEM 206.304688 1594283943.0969
MEM 206.304688 1594283943.1972
MEM 206.304688 1594283943.2976
MEM 206.304688 1594283943.3979
MEM 206.304688 1594283943.4982
MEM 206.562500 1594283943.5985
MEM 206.562500 1594283943.6989
MEM 206.664062 1594283943.7992
MEM 206.671875 1594283943.8995
MEM 206.671875 1594283943.9999
MEM 206.671875 1594283944.1002
MEM 206.671875 1594283944.2005
MEM 206.671875 1594283944.3009
MEM 206.925781 1594283944.4012
MEM 206.925781 1594283944.5015
MEM 206.925781 1594283944.6018
MEM 206.925781 1594283944.7021
MEM 206.925781 1594283944.8025
MEM 206.925781 1594283944.9028
MEM 207.183594 1594283945.0031
MEM 207.183594 1594283945.1034
MEM 207.285156 1594283945.2038
MEM 207.285156 1594283945.3041
MEM 207.285156 1594283945.4044
MEM 207.285156 1594283945.5047
MEM 207.285156 1594283945.6050
MEM 207.285156 1594283945.7053
MEM 207.539062 1594283945.8056
MEM 207.539062 1594283945.9059
MEM 207.539062 1594283946.0062
MEM 207.539062 1594283946.1065
MEM 207.539062 1594283946.2069
MEM 207.539062 1594283946.3072
MEM 207.796875 1594283946.4075
MEM 207.796875 1594283946.5079
MEM 207.902344 1594283946.6082
MEM 207.902344 1594283946.7085
MEM 207.902344 1594283946.8088
MEM 207.902344 1594283946.9091
MEM 207.902344 1594283947.0094
MEM 207.902344 1594283947.1098
MEM 208.156250 1594283947.2101
MEM 208.156250 1594283947.3104
MEM 208.156250 1594283947.4108
MEM 208.156250 1594283947.5111
MEM 208.156250 1594283947.6114
MEM 208.414062 1594283947.7117
MEM 208.414062 1594283947.8120
MEM 208.414062 1594283947.9123
MEM 208.515625 1594283948.0127
MEM 208.515625 1594283948.1130
MEM 208.515625 1594283948.2133
MEM 208.515625 1594283948.3136
MEM 208.515625 1594283948.4139
MEM 208.769531 1594283948.5143
MEM 208.769531 1594283948.6147
MEM 208.769531 1594283948.7150
MEM 208.769531 1594283948.8154
MEM 208.769531 1594283948.9157
MEM 208.769531 1594283949.0159
MEM 209.027344 1594283949.1164
MEM 209.027344 1594283949.2167
MEM 209.027344 1594283949.3169
MEM 209.136719 1594283949.4173
MEM 209.136719 1594283949.5176
MEM 209.136719 1594283949.6179
MEM 209.136719 1594283949.7182
MEM 209.136719 1594283949.8185
MEM 209.390625 1594283949.9189
MEM 209.390625 1594283950.0192
MEM 209.390625 1594283950.1195
MEM 209.390625 1594283950.2199
MEM 209.390625 1594283950.3202
MEM 209.390625 1594283950.4205
MEM 209.648438 1594283950.5208
MEM 209.648438 1594283950.6212
MEM 209.746094 1594283950.7215
MEM 209.746094 1594283950.8218
MEM 209.746094 1594283950.9220
MEM 209.746094 1594283951.0224
MEM 209.746094 1594283951.1227
MEM 209.746094 1594283951.2229
MEM 210.000000 1594283951.3233
MEM 210.000000 1594283951.4236
MEM 210.000000 1594283951.5239
MEM 210.000000 1594283951.6242
MEM 210.000000 1594283951.7246
MEM 210.000000 1594283951.8249
MEM 210.000000 1594283951.9252
MEM 210.000000 1594283952.0256
MEM 210.257812 1594283952.1259
MEM 210.257812 1594283952.2263
MEM 210.257812 1594283952.3266
MEM 210.257812 1594283952.4269
MEM 210.257812 1594283952.5272
MEM 210.257812 1594283952.6275
MEM 210.257812 1594283952.7279
MEM 210.257812 1594283952.8282
MEM 210.503906 1594283952.9286
MEM 210.503906 1594283953.0289
MEM 210.503906 1594283953.1292
MEM 210.503906 1594283953.2296
MEM 210.503906 1594283953.3299
MEM 210.757812 1594283953.4302
MEM 210.757812 1594283953.5306
MEM 210.757812 1594283953.6309
MEM 210.757812 1594283953.7313
MEM 210.757812 1594283953.8316
MEM 210.757812 1594283953.9319
MEM 211.011719 1594283954.0322
MEM 211.011719 1594283954.1326
MEM 211.011719 1594283954.2331
MEM 211.011719 1594283954.3334
MEM 211.011719 1594283954.4337
MEM 211.011719 1594283954.5340
MEM 211.265625 1594283954.6343
MEM 211.265625 1594283954.7347
MEM 211.265625 1594283954.8349
MEM 211.265625 1594283954.9353
MEM 211.265625 1594283955.0356
MEM 211.265625 1594283955.1359
MEM 211.523438 1594283955.2363
MEM 211.523438 1594283955.3366
MEM 211.597656 1594283955.4369
MEM 211.597656 1594283955.5372
MEM 211.597656 1594283955.6375
MEM 211.597656 1594283955.7378
MEM 211.597656 1594283955.8381
MEM 211.597656 1594283955.9385
MEM 211.851562 1594283956.0388
MEM 211.851562 1594283956.1391
MEM 211.851562 1594283956.2395
MEM 211.851562 1594283956.3399
MEM 211.851562 1594283956.4401
MEM 211.851562 1594283956.5405
MEM 211.851562 1594283956.6408
MEM 212.109375 1594283956.7411
MEM 212.109375 1594283956.8414
MEM 212.109375 1594283956.9417
MEM 212.218750 1594283957.0421
MEM 212.218750 1594283957.1423
MEM 212.218750 1594283957.2426
MEM 212.218750 1594283957.3429
MEM 212.218750 1594283957.4432
MEM 212.218750 1594283957.5435
MEM 212.472656 1594283957.6438
MEM 212.472656 1594283957.7441
MEM 212.472656 1594283957.8444
MEM 212.472656 1594283957.9447
MEM 212.472656 1594283958.0450
MEM 212.472656 1594283958.1453
MEM 212.730469 1594283958.2457
MEM 212.730469 1594283958.3460
MEM 212.730469 1594283958.4463
MEM 212.832031 1594283958.5466
MEM 212.832031 1594283958.6469
MEM 212.832031 1594283958.7472
MEM 212.832031 1594283958.8476
MEM 212.832031 1594283958.9479
MEM 212.832031 1594283959.0483
MEM 213.085938 1594283959.1486
MEM 213.085938 1594283959.2489
MEM 213.085938 1594283959.3493
MEM 213.085938 1594283959.4496
MEM 213.085938 1594283959.5499
MEM 213.085938 1594283959.6503
MEM 213.085938 1594283959.7507
MEM 213.343750 1594283959.8510
MEM 213.343750 1594283959.9513
MEM 213.449219 1594283960.0516
MEM 213.449219 1594283960.1520
MEM 213.449219 1594283960.2523
MEM 213.449219 1594283960.3526
MEM 213.449219 1594283960.4529
MEM 213.449219 1594283960.5532
MEM 213.449219 1594283960.6536
MEM 213.703125 1594283960.7539
MEM 213.703125 1594283960.8542
MEM 213.703125 1594283960.9545
MEM 213.703125 1594283961.0549
MEM 213.703125 1594283961.1552
MEM 213.703125 1594283961.2555
MEM 213.960938 1594283961.3558
MEM 213.960938 1594283961.4562
MEM 214.058594 1594283961.5565
MEM 214.058594 1594283961.6568
MEM 214.058594 1594283961.7572
MEM 214.058594 1594283961.8575
MEM 214.058594 1594283961.9578
MEM 214.058594 1594283962.0581
MEM 214.058594 1594283962.1584
MEM 214.312500 1594283962.2588
MEM 214.312500 1594283962.3591
MEM 214.312500 1594283962.4594
MEM 214.312500 1594283962.5597
MEM 214.312500 1594283962.6599
MEM 214.312500 1594283962.7602
MEM 214.570312 1594283962.8605
MEM 214.570312 1594283962.9608
MEM 214.570312 1594283963.0611
MEM 214.679688 1594283963.1614
MEM 214.679688 1594283963.2618
MEM 214.679688 1594283963.3620
MEM 214.679688 1594283963.4623
MEM 214.679688 1594283963.5627
MEM 214.679688 1594283963.6630
MEM 214.933594 1594283963.7633
MEM 214.933594 1594283963.8636
MEM 214.933594 1594283963.9639
MEM 214.933594 1594283964.0642
MEM 214.933594 1594283964.1645
MEM 215.191406 1594283964.2649
MEM 215.191406 1594283964.3652
MEM 215.191406 1594283964.4657
MEM 215.304688 1594283964.5659
MEM 215.304688 1594283964.6662
MEM 215.304688 1594283964.7665
MEM 215.304688 1594283964.8669
MEM 215.304688 1594283964.9672
MEM 215.304688 1594283965.0675
MEM 215.558594 1594283965.1678
MEM 215.558594 1594283965.2681
MEM 215.558594 1594283965.3684
MEM 215.558594 1594283965.4688
MEM 215.558594 1594283965.5691
MEM 215.558594 1594283965.6694
MEM 215.816406 1594283965.7698
MEM 215.816406 1594283965.8701
MEM 215.816406 1594283965.9704
MEM 215.914062 1594283966.0708
MEM 215.914062 1594283966.1711
MEM 215.914062 1594283966.2714
MEM 215.914062 1594283966.3717
MEM 215.914062 1594283966.4720
MEM 215.914062 1594283966.5724
MEM 216.167969 1594283966.6728
MEM 216.167969 1594283966.7731
MEM 216.167969 1594283966.8734
MEM 216.167969 1594283966.9738
MEM 216.167969 1594283967.0741
MEM 216.167969 1594283967.1744
MEM 216.425781 1594283967.2747
MEM 216.425781 1594283967.3750
MEM 216.425781 1594283967.4754
MEM 216.531250 1594283967.5757
MEM 216.531250 1594283967.6760
MEM 216.531250 1594283967.7763
MEM 216.531250 1594283967.8766
MEM 216.531250 1594283967.9770
MEM 216.531250 1594283968.0773
MEM 216.785156 1594283968.1776
MEM 216.785156 1594283968.2779
MEM 216.785156 1594283968.3782
MEM 216.785156 1594283968.4785
MEM 216.785156 1594283968.5789
MEM 216.785156 1594283968.6792
MEM 216.785156 1594283968.7795
MEM 217.042969 1594283968.8798
MEM 217.042969 1594283968.9801
MEM 217.140625 1594283969.0804
MEM 217.140625 1594283969.1807
MEM 217.140625 1594283969.2809
MEM 217.140625 1594283969.3812
MEM 217.140625 1594283969.4815
MEM 217.140625 1594283969.5820
MEM 217.394531 1594283969.6823
MEM 217.394531 1594283969.7826
MEM 217.394531 1594283969.8829
MEM 217.394531 1594283969.9833
MEM 217.394531 1594283970.0836
MEM 217.394531 1594283970.1839
MEM 217.652344 1594283970.2842
MEM 217.652344 1594283970.3845
MEM 217.652344 1594283970.4849
MEM 217.753906 1594283970.5852
MEM 217.753906 1594283970.6855
MEM 217.753906 1594283970.7859
MEM 217.753906 1594283970.8862
MEM 217.753906 1594283970.9865
MEM 217.753906 1594283971.0869
MEM 218.007812 1594283971.1872
MEM 218.007812 1594283971.2875
MEM 218.007812 1594283971.3879
MEM 218.007812 1594283971.4883
MEM 218.007812 1594283971.5886
MEM 218.007812 1594283971.6890
MEM 218.007812 1594283971.7893
MEM 218.265625 1594283971.8896
MEM 218.265625 1594283971.9900
MEM 218.367188 1594283972.0903
MEM 218.367188 1594283972.1906
MEM 218.367188 1594283972.2909
MEM 218.367188 1594283972.3912
MEM 218.367188 1594283972.4915
MEM 218.367188 1594283972.5919
MEM 218.621094 1594283972.6922
MEM 218.621094 1594283972.7925
MEM 218.621094 1594283972.8929
MEM 218.621094 1594283972.9932
MEM 218.621094 1594283973.0935
MEM 218.621094 1594283973.1938
MEM 218.621094 1594283973.2942
MEM 218.878906 1594283973.3945
MEM 218.878906 1594283973.4948
MEM 218.878906 1594283973.5951
MEM 218.992188 1594283973.6955
MEM 218.992188 1594283973.7959
MEM 218.992188 1594283973.8963
MEM 218.992188 1594283973.9966
MEM 218.992188 1594283974.0969
MEM 218.992188 1594283974.1972
MEM 219.246094 1594283974.2976
MEM 219.246094 1594283974.3979
MEM 219.246094 1594283974.4982
MEM 219.246094 1594283974.5985
MEM 219.246094 1594283974.6990
MEM 219.246094 1594283974.7992
MEM 219.246094 1594283974.8996
MEM 219.503906 1594283974.9999
MEM 219.503906 1594283975.1002
MEM 219.503906 1594283975.2005
MEM 219.613281 1594283975.3009
MEM 219.613281 1594283975.4012
MEM 219.613281 1594283975.5015
MEM 219.613281 1594283975.6018
MEM 219.613281 1594283975.7021
MEM 219.613281 1594283975.8025
MEM 219.867188 1594283975.9028
MEM 219.867188 1594283976.0031
MEM 219.867188 1594283976.1034
MEM 219.867188 1594283976.2038
MEM 219.867188 1594283976.3041
MEM 219.867188 1594283976.4044
MEM 219.867188 1594283976.5048
MEM 220.125000 1594283976.6051
MEM 220.125000 1594283976.7054
MEM 220.222656 1594283976.8057
MEM 220.222656 1594283976.9060
MEM 220.222656 1594283977.0064
MEM 220.222656 1594283977.1067
MEM 220.222656 1594283977.2070
MEM 220.222656 1594283977.3073
MEM 220.222656 1594283977.4076
MEM 220.476562 1594283977.5080
MEM 220.476562 1594283977.6083
MEM 220.476562 1594283977.7086
MEM 220.476562 1594283977.8090
MEM 220.476562 1594283977.9093
MEM 220.476562 1594283978.0096
MEM 220.734375 1594283978.1099
MEM 220.734375 1594283978.2102
MEM 220.734375 1594283978.3105
MEM 220.832031 1594283978.4108
MEM 220.832031 1594283978.5112
MEM 220.832031 1594283978.6115
MEM 220.832031 1594283978.7119
MEM 220.832031 1594283978.8122
MEM 220.832031 1594283978.9125
MEM 221.085938 1594283979.0129
MEM 221.085938 1594283979.1132
MEM 221.085938 1594283979.2135
MEM 221.085938 1594283979.3140
MEM 221.085938 1594283979.4143
MEM 221.085938 1594283979.5146
MEM 221.343750 1594283979.6150
MEM 221.343750 1594283979.7153
MEM 221.343750 1594283979.8158
MEM 221.464844 1594283979.9161
MEM 221.464844 1594283980.0164
MEM 221.464844 1594283980.1168
MEM 221.464844 1594283980.2171
MEM 221.464844 1594283980.3174
MEM 221.464844 1594283980.4178
MEM 221.464844 1594283980.5181
MEM 221.718750 1594283980.6184
MEM 221.718750 1594283980.7187
MEM 221.718750 1594283980.8191
MEM 221.718750 1594283980.9194
MEM 221.718750 1594283981.0197
MEM 221.718750 1594283981.1200
MEM 221.976562 1594283981.2203
MEM 221.976562 1594283981.3206
MEM 222.070312 1594283981.4209
MEM 222.070312 1594283981.5213
MEM 222.070312 1594283981.6216
MEM 222.070312 1594283981.7219
MEM 222.070312 1594283981.8222
MEM 222.070312 1594283981.9226
MEM 222.070312 1594283982.0229
MEM 222.324219 1594283982.1232
MEM 222.324219 1594283982.2236
MEM 222.324219 1594283982.3239
MEM 222.324219 1594283982.4242
MEM 222.324219 1594283982.5245
MEM 222.324219 1594283982.6248
MEM 222.582031 1594283982.7251
MEM 222.582031 1594283982.8255
MEM 222.582031 1594283982.9258
MEM 222.687500 1594283983.0261
MEM 222.687500 1594283983.1265
MEM 222.687500 1594283983.2268
MEM 222.687500 1594283983.3271
MEM 222.687500 1594283983.4275
MEM 222.687500 1594283983.5278
MEM 222.941406 1594283983.6281
MEM 222.941406 1594283983.7284
MEM 222.941406 1594283983.8288
MEM 222.941406 1594283983.9291
MEM 222.941406 1594283984.0294
MEM 222.941406 1594283984.1298
MEM 222.941406 1594283984.2301
MEM 223.199219 1594283984.3304
MEM 223.199219 1594283984.4308
MEM 223.304688 1594283984.5311
MEM 223.304688 1594283984.6314
MEM 223.304688 1594283984.7318
MEM 223.304688 1594283984.8321
MEM 223.304688 1594283984.9326
MEM 223.304688 1594283985.0329
MEM 223.304688 1594283985.1332
MEM 223.558594 1594283985.2336
MEM 223.558594 1594283985.3339
MEM 223.558594 1594283985.4342
MEM 223.558594 1594283985.5345
MEM 223.558594 1594283985.6349
MEM 223.558594 1594283985.7353
MEM 223.816406 1594283985.8356
MEM 223.816406 1594283985.9359
MEM 223.816406 1594283986.0361
MEM 223.925781 1594283986.1365
MEM 223.925781 1594283986.2368
MEM 223.925781 1594283986.3371
MEM 223.925781 1594283986.4374
MEM 223.925781 1594283986.5378
MEM 223.925781 1594283986.6381
MEM 224.179688 1594283986.7384
MEM 224.179688 1594283986.8388
MEM 224.179688 1594283986.9390
MEM 224.179688 1594283987.0393
MEM 224.179688 1594283987.1396
MEM 224.179688 1594283987.2399
MEM 224.437500 1594283987.3402
MEM 224.437500 1594283987.4404
MEM 224.437500 1594283987.5408
MEM 224.546875 1594283987.6411
MEM 224.546875 1594283987.7414
MEM 224.546875 1594283987.8418
MEM 224.546875 1594283987.9421
MEM 224.546875 1594283988.0424
MEM 224.546875 1594283988.1427
MEM 224.546875 1594283988.2431
MEM 224.800781 1594283988.3434
MEM 224.800781 1594283988.4437
MEM 224.800781 1594283988.5440
MEM 224.800781 1594283988.6444
MEM 224.800781 1594283988.7447
MEM 224.800781 1594283988.8450
MEM 225.058594 1594283988.9454
MEM 225.058594 1594283989.0457
MEM 225.058594 1594283989.1459
MEM 225.164062 1594283989.2463
MEM 225.164062 1594283989.3465
MEM 225.164062 1594283989.4468
MEM 225.164062 1594283989.5472
MEM 225.164062 1594283989.6475
MEM 225.164062 1594283989.7479
MEM 225.417969 1594283989.8482
MEM 225.417969 1594283989.9485
MEM 225.417969 1594283990.0489
MEM 225.417969 1594283990.1492
MEM 225.417969 1594283990.2495
MEM 225.417969 1594283990.3499
MEM 225.417969 1594283990.4502
MEM 225.675781 1594283990.5505
MEM 225.675781 1594283990.6508
MEM 225.789062 1594283990.7512
MEM 225.789062 1594283990.8515
MEM 225.789062 1594283990.9518
MEM 225.789062 1594283991.0521
MEM 225.789062 1594283991.1524
MEM 225.789062 1594283991.2528
MEM 225.789062 1594283991.3531
MEM 226.042969 1594283991.4534
MEM 226.042969 1594283991.5538
MEM 226.042969 1594283991.6542
MEM 226.042969 1594283991.7545
MEM 226.042969 1594283991.8549
MEM 226.042969 1594283991.9552
MEM 226.300781 1594283992.0556
MEM 226.300781 1594283992.1560
MEM 226.390625 1594283992.2563
MEM 226.394531 1594283992.3566
MEM 226.394531 1594283992.4569
MEM 226.394531 1594283992.5572
MEM 226.394531 1594283992.6575
MEM 226.394531 1594283992.7578
MEM 226.394531 1594283992.8581
MEM 226.648438 1594283992.9585
MEM 226.648438 1594283993.0589
MEM 226.648438 1594283993.1592
MEM 226.648438 1594283993.2595
MEM 226.906250 1594283993.3598
MEM 226.906250 1594283993.4602
MEM 226.906250 1594283993.5605
MEM 226.906250 1594283993.6608
MEM 226.906250 1594283993.7611
MEM 227.007812 1594283993.8614
MEM 227.007812 1594283993.9618
MEM 227.007812 1594283994.0621
MEM 227.007812 1594283994.1624
MEM 227.007812 1594283994.2628
MEM 227.007812 1594283994.3631
MEM 227.261719 1594283994.4634
MEM 227.261719 1594283994.5637
MEM 227.261719 1594283994.6640
MEM 227.261719 1594283994.7643
MEM 227.261719 1594283994.8647
MEM 227.261719 1594283994.9650
MEM 227.261719 1594283995.0653
MEM 227.519531 1594283995.1658
MEM 227.519531 1594283995.2661
MEM 227.519531 1594283995.3664
MEM 227.640625 1594283995.4667
MEM 227.640625 1594283995.5670
MEM 227.640625 1594283995.6674
MEM 227.640625 1594283995.7677
MEM 227.640625 1594283995.8680
MEM 227.640625 1594283995.9683
MEM 227.894531 1594283996.0686
MEM 227.894531 1594283996.1689
MEM 227.894531 1594283996.2693
MEM 227.894531 1594283996.3696
MEM 227.894531 1594283996.4699
MEM 227.894531 1594283996.5702
MEM 227.894531 1594283996.6706
MEM 228.152344 1594283996.7709
MEM 228.152344 1594283996.8712
MEM 228.246094 1594283996.9715
MEM 228.246094 1594283997.0718
MEM 228.246094 1594283997.1721
MEM 228.246094 1594283997.2725
MEM 228.246094 1594283997.3728
MEM 228.246094 1594283997.4731
MEM 228.246094 1594283997.5734
MEM 228.500000 1594283997.6737
MEM 228.500000 1594283997.7741
MEM 228.500000 1594283997.8744
MEM 228.500000 1594283997.9747
MEM 228.500000 1594283998.0750
MEM 228.500000 1594283998.1753
MEM 228.757812 1594283998.2756
MEM 228.757812 1594283998.3759
MEM 228.757812 1594283998.4763
MEM 228.867188 1594283998.5766
MEM 228.867188 1594283998.6769
MEM 228.867188 1594283998.7773
MEM 228.867188 1594283998.8775
MEM 228.867188 1594283998.9779
MEM 228.867188 1594283999.0782
MEM 229.121094 1594283999.1785
MEM 229.121094 1594283999.2788
MEM 229.121094 1594283999.3792
MEM 229.121094 1594283999.4795
MEM 229.121094 1594283999.5798
MEM 229.121094 1594283999.6803
MEM 229.121094 1594283999.7806
MEM 229.121094 1594283999.8809
MEM 229.378906 1594283999.9813
MEM 229.378906 1594284000.0816
MEM 229.378906 1594284000.1819
MEM 229.378906 1594284000.2824
MEM 229.378906 1594284000.3827
MEM 229.378906 1594284000.4830
MEM 229.378906 1594284000.5833
MEM 229.613281 1594284000.6836
MEM 229.613281 1594284000.7839
MEM 229.613281 1594284000.8842
MEM 229.613281 1594284000.9845
MEM 229.613281 1594284001.0848
MEM 229.867188 1594284001.1852
MEM 229.867188 1594284001.2855
MEM 229.867188 1594284001.3859
MEM 229.867188 1594284001.4862
MEM 229.867188 1594284001.5865
MEM 229.867188 1594284001.6868
MEM 230.121094 1594284001.7871
MEM 230.121094 1594284001.8874
MEM 230.121094 1594284001.9878
MEM 230.121094 1594284002.0881
MEM 230.121094 1594284002.1884
MEM 230.375000 1594284002.2888
MEM 230.375000 1594284002.3891
MEM 230.375000 1594284002.4894
MEM 230.375000 1594284002.5897
MEM 230.375000 1594284002.6900
MEM 230.375000 1594284002.7903
MEM 230.375000 1594284002.8907
MEM 230.632812 1594284002.9910
MEM 230.632812 1594284003.0913
MEM 230.710938 1594284003.1916
MEM 230.710938 1594284003.2919
MEM 230.710938 1594284003.3923
MEM 230.710938 1594284003.4926
MEM 230.710938 1594284003.5929
MEM 230.710938 1594284003.6933
MEM 230.964844 1594284003.7936
MEM 230.964844 1594284003.8940
MEM 230.964844 1594284003.9943
MEM 230.964844 1594284004.0946
MEM 230.964844 1594284004.1949
MEM 230.964844 1594284004.2953
MEM 230.964844 1594284004.3956
MEM 231.222656 1594284004.4961
MEM 231.222656 1594284004.5964
MEM 231.335938 1594284004.6967
MEM 231.339844 1594284004.7971
MEM 231.339844 1594284004.8974
MEM 231.339844 1594284004.9978
MEM 231.339844 1594284005.0980
MEM 231.339844 1594284005.1983
MEM 231.339844 1594284005.2987
MEM 231.593750 1594284005.3991
MEM 231.593750 1594284005.4995
MEM 231.593750 1594284005.5998
MEM 231.593750 1594284005.7001
